ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000112118,1343.3374955200654,2.358353090310732,0.12801728256332964,18.422146159398935,8.727355711778854e-76,3.645697002957906e-73,MCM3
ENSG00000154839,108.14554807463243,3.1633520970506868,0.1717433331395667,18.419067798573575,9.238077917531329e-76,3.79133959166334e-73,SKA1
ENSG00000085840,86.0173543757025,2.983864633439055,0.16228652372890937,18.38639811167214,1.688305237817624e-75,6.809400763494428e-73,ORC1
ENSG00000080709,186.32013722358639,-4.358413172820621,0.2386090775062343,-18.265915188020227,1.545990583377586e-74,6.129721646940996e-72,KCNN2
ENSG00000182481,909.7286672146018,2.82178646090154,0.15528955043023757,18.171129049466867,8.738163827855865e-74,3.406864440417204e-71,KPNA2
ENSG00000140451,155.20401838047425,2.7298133243936977,0.1503463953157348,18.15682589968955,1.13394173047859e-73,4.348573590341911e-71,PIF1
ENSG00000117632,1552.9912731667594,2.9247478157129128,0.16150930926112075,18.108849756668306,2.713592502092616e-73,1.0238559580879445e-70,STMN1
ENSG00000175063,358.61437918524314,3.507893825659525,0.19445482388593016,18.039633862296487,9.51723778455052e-73,3.5339165633966716e-70,UBE2C
ENSG00000138160,197.77567997749452,2.6916300182283948,0.14972381291350975,17.977300777019725,2.9343418733114154e-72,1.0725478037870928e-69,KIF11
ENSG00000112742,112.10175843034988,3.8581499306289078,0.21485947172754025,17.95662020207033,4.259681011680396e-72,1.5330264293267614e-69,TTK
ENSG00000237125,232.05799746482026,-2.6275293210333577,0.14666241152798506,-17.91549241321449,8.927564267548891e-72,3.1642804683450184e-69,HAND2-AS1
ENSG00000087586,302.1304381138389,3.113320455214783,0.1741650310632344,17.875692015835398,1.8239793036706116e-71,6.368410126980092e-69,AURKA
ENSG00000111206,384.7344293400081,2.791321558840369,0.15654034024487998,17.831324209937417,4.037441817144193e-71,1.3889393592419722e-68,FOXM1
ENSG00000137804,510.2870431881623,2.6269129247289165,0.1479829699499792,17.75145427623772,1.679480619906289e-70,5.6939261074591044e-68,NUSAP1
ENSG00000175793,343.5108974463759,6.080313663315237,0.34276415990909304,17.739059022179685,2.0941247769330068e-70,6.99826584382769e-68,SFN
ENSG00000249173,505.23301893778114,-5.522163400523709,0.31181631258182496,-17.70966808888363,3.531487306379397e-70,1.1635504585652568e-67,LINC01093
ENSG00000118193,125.08275410763753,3.036005015220925,0.17159815769246672,17.69252686652945,4.787938050450035e-70,1.555614372419134e-67,KIF14
ENSG00000169607,107.56016526684611,3.6298086809188863,0.20588701258104355,17.630100293431965,1.4471012024902122e-69,4.637265538336101e-67,CKAP2L
ENSG00000156509,69.0256847477259,3.360665100847309,0.19062953479951628,17.629299176445542,1.4677505492367616e-69,4.639876837607508e-67,FBXO43
ENSG00000137135,264.0571762646661,2.436296797580562,0.13828461015101462,17.617989412704627,1.7926373477730142e-69,5.59135539686055e-67,ARHGEF39
ENSG00000106462,492.93686021151683,2.199758728177952,0.1259221046229899,17.469202367320793,2.4590852233268397e-68,7.569129030169047e-66,EZH2
ENSG00000241168,210.0692007473715,-3.12428331605703,0.17887973720194691,-17.465831317327236,2.6087339780016e-68,7.925469343817069e-66,
ENSG00000154920,86.34228672049564,2.998107097993077,0.172008097035446,17.430034688281285,4.8816368672248565e-68,1.4640529645511675e-65,EME1
ENSG00000140534,89.0453798223743,3.0107374291340614,0.17350688669960754,17.352264722186796,1.8961913922195764e-67,5.614886739011715e-65,TICRR
ENSG00000024526,112.84265396671462,4.135722260652647,0.2401041211366473,17.224703354004234,1.7331400069793671e-66,5.067918022908542e-64,DEPDC1
ENSG00000145824,585.4070538499632,-4.271589526179732,0.248151469706505,-17.213637828669114,2.0982681825547812e-66,6.059850320309136e-64,CXCL14
